loneliness_group_2,quartile,mean_interference,sem_interference,n
High loneliness,1,128.2638149020949,14.43629894906445,111
High loneliness,2,143.47523927627572,14.864093908388492,111
High loneliness,3,147.0192300073759,16.116978128672898,111
High loneliness,4,161.477693527445,15.968840621452303,111
Low loneliness,1,164.34941378736272,14.600314219168867,109
Low loneliness,2,135.44688154467988,16.11975082604559,109
Low loneliness,3,112.93098931357125,14.588289599602628,109
Low loneliness,4,137.57439963490788,15.169714509882391,109
