,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dass_latent[210],0.016,0.724,-1.402,1.456,0.041,0.144,191.0,78.0,1.06
dass_latent[211],-0.021,0.726,-1.293,1.534,0.031,0.139,408.0,159.0,1.06
dass_latent[212],0.117,0.711,-1.505,1.1,0.087,0.107,43.0,145.0,1.04
dass_latent[213],0.313,1.336,-2.257,3.694,0.277,0.311,22.0,22.0,1.09
dass_latent[214],0.301,1.269,-2.255,3.113,0.273,0.298,19.0,23.0,1.08
dass_latent[215],0.334,1.315,-2.898,2.939,0.279,0.304,21.0,24.0,1.07
dass_latent[216],-0.127,0.814,-1.837,1.438,0.119,0.147,47.0,59.0,1.08
dass_latent[217],-0.13,0.854,-1.902,1.601,0.102,0.171,74.0,42.0,1.1
dass_latent[218],-0.164,0.849,-1.835,1.502,0.114,0.173,54.0,39.0,1.08
dass_latent[219],-0.018,0.748,-1.404,1.611,0.044,0.146,222.0,147.0,1.08
dass_latent[220],-0.078,0.754,-1.753,1.308,0.083,0.152,87.0,79.0,1.1
dass_latent[221],-0.067,0.725,-1.561,1.32,0.056,0.125,114.0,168.0,1.06
dass_latent[222],-0.197,1.112,-2.871,1.961,0.203,0.229,31.0,34.0,1.06
dass_latent[223],-0.248,1.128,-2.81,1.986,0.212,0.234,26.0,28.0,1.06
dass_latent[224],-0.249,1.105,-2.617,1.976,0.22,0.254,24.0,33.0,1.08
dass_latent[225],-0.02,0.701,-1.232,1.506,0.026,0.165,410.0,60.0,1.11
dass_latent[226],0.027,0.723,-1.334,1.496,0.03,0.132,331.0,98.0,1.07
dass_latent[227],0.005,0.703,-1.207,1.51,0.033,0.13,383.0,195.0,1.08
dass_latent[228],0.051,0.74,-1.441,1.432,0.045,0.123,245.0,184.0,1.06
dass_latent[229],0.035,0.745,-1.549,1.364,0.045,0.127,219.0,171.0,1.07
dass_latent[230],0.061,0.842,-1.807,1.526,0.044,0.154,275.0,211.0,1.07
dass_latent[231],0.084,0.729,-1.423,1.41,0.078,0.127,86.0,81.0,1.05
dass_latent[232],0.121,0.745,-1.377,1.509,0.072,0.146,103.0,51.0,1.07
dass_latent[233],0.093,0.715,-1.387,1.551,0.059,0.152,118.0,70.0,1.06
dass_ef_coef,0.041,0.508,-0.636,1.329,0.109,0.081,25.0,46.0,1.09
ucla_ef_direct,-0.008,0.089,-0.173,0.155,0.01,0.004,84.0,532.0,1.03
sigma_ef,0.912,0.128,0.664,1.069,0.021,0.034,70.0,43.0,1.02
sigma_dass,0.653,0.361,0.25,1.359,0.134,0.056,6.0,12.0,1.26
indirect_effect,-0.049,0.1,-0.245,0.13,0.01,0.004,95.0,478.0,1.02
