,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
age_coef,-0.245,0.062,-0.366,-0.132,0.001,0.002,2033.0,1207.0,1.0
gender_coef,-0.049,0.102,-0.243,0.138,0.003,0.002,1377.0,822.0,1.0
ucla_coef,0.045,0.093,-0.137,0.217,0.003,0.002,1010.0,1048.0,1.0
dass_coef,-0.151,0.094,-0.344,0.012,0.003,0.002,1041.0,1226.0,1.0
sigma_ef,0.967,0.045,0.884,1.055,0.001,0.001,1755.0,1296.0,1.0
