,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
age_coef,-0.248,0.059,-0.357,-0.139,0.001,0.001,2623.0,1427.0,1.0
gender_coef,-0.054,0.103,-0.229,0.162,0.002,0.002,2152.0,1307.0,1.01
dass_coef,-0.113,0.063,-0.229,0.011,0.001,0.001,2087.0,1427.0,1.0
sigma_ef,0.967,0.045,0.879,1.045,0.001,0.001,2489.0,1326.0,1.0
