Model,LOO,LOO_SE,p_loo,WAIC,WAIC_SE,BIC
mood_driven,,,,,,436.0293078179448
full_mediation,,,,,,436.2559349592534
parallel,,,,,,441.8577718858499
moderated,,,,,,338.81179651500656
