,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
age_coef,-0.227,0.067,-0.361,-0.105,0.009,0.002,62.0,296.0,1.03
gender_coef,-0.032,0.977,-1.825,1.877,0.047,0.032,428.0,686.0,1.0
ucla_dass_coef,0.297,0.222,-0.004,0.722,0.073,0.064,11.0,16.0,1.13
gender_dass_coef,0.121,0.874,-1.624,1.705,0.187,0.13,22.0,68.0,1.11
interaction_dass,-0.689,0.625,-1.783,0.696,0.082,0.13,50.0,77.0,1.08
dass_latent[0],0.331,1.093,-1.182,2.832,0.314,0.351,9.0,23.0,1.17
dass_latent[1],0.364,1.091,-1.25,2.542,0.354,0.379,7.0,22.0,1.2
dass_latent[2],0.338,1.112,-1.102,2.517,0.321,0.364,8.0,27.0,1.2
dass_latent[3],1.148,1.265,-0.447,3.976,0.481,0.467,8.0,17.0,1.19
dass_latent[4],1.139,1.251,-0.373,3.846,0.469,0.452,7.0,17.0,1.23
dass_latent[5],1.178,1.32,-0.353,4.052,0.528,0.536,7.0,16.0,1.23
dass_latent[6],-0.842,1.414,-3.927,0.78,0.58,0.42,5.0,40.0,1.39
dass_latent[7],-0.872,1.419,-4.0,0.831,0.6,0.408,5.0,27.0,1.38
dass_latent[8],-0.868,1.377,-3.786,0.889,0.582,0.45,4.0,19.0,1.41
dass_latent[9],0.756,1.044,-0.753,2.85,0.252,0.441,26.0,21.0,1.18
dass_latent[10],0.762,1.074,-0.848,2.854,0.301,0.424,25.0,18.0,1.2
dass_latent[11],0.747,0.98,-0.759,2.547,0.292,0.389,19.0,17.0,1.19
dass_latent[12],0.134,0.868,-1.628,1.658,0.018,0.351,2554.0,24.0,1.23
dass_latent[13],0.106,0.808,-1.586,1.434,0.018,0.308,1994.0,52.0,1.22
dass_latent[14],0.113,0.813,-1.517,1.64,0.015,0.306,2539.0,35.0,1.26
dass_latent[15],0.183,1.406,-2.671,2.811,0.193,0.352,41.0,55.0,1.15
dass_latent[16],0.188,1.425,-2.675,2.74,0.189,0.407,41.0,55.0,1.13
dass_latent[17],0.185,1.374,-2.449,2.765,0.194,0.287,40.0,75.0,1.12
dass_latent[18],1.044,2.228,-3.009,5.602,0.344,0.813,20.0,32.0,1.2
dass_latent[19],1.051,2.147,-2.61,5.913,0.352,0.704,18.0,27.0,1.16
dass_latent[20],1.03,2.195,-2.731,5.767,0.354,0.786,22.0,27.0,1.18
dass_latent[21],0.688,1.096,-0.723,3.18,0.366,0.465,10.0,15.0,1.18
dass_latent[22],0.685,1.133,-0.657,3.448,0.396,0.45,8.0,18.0,1.17
dass_latent[23],0.701,1.093,-0.663,3.067,0.368,0.411,8.0,17.0,1.19
dass_latent[24],-0.17,0.866,-1.808,1.579,0.017,0.303,2150.0,46.0,1.2
dass_latent[25],-0.135,0.78,-1.766,1.333,0.015,0.297,2239.0,33.0,1.21
dass_latent[26],-0.175,0.777,-1.697,1.362,0.014,0.288,2241.0,45.0,1.21
dass_latent[27],0.061,1.491,-2.713,2.838,0.205,0.414,41.0,48.0,1.14
dass_latent[28],0.067,1.462,-2.594,2.761,0.195,0.397,45.0,43.0,1.16
dass_latent[29],0.079,1.492,-2.576,3.093,0.204,0.358,42.0,57.0,1.13
dass_latent[30],0.697,0.906,-0.575,2.618,0.231,0.319,26.0,21.0,1.13
dass_latent[31],0.704,0.951,-0.717,2.762,0.192,0.353,72.0,20.0,1.14
dass_latent[32],0.693,0.924,-0.776,2.697,0.179,0.331,60.0,24.0,1.14
dass_latent[33],0.363,1.398,-2.558,2.757,0.228,0.389,26.0,71.0,1.16
dass_latent[34],0.365,1.398,-2.341,3.106,0.227,0.416,27.0,59.0,1.16
dass_latent[35],0.37,1.42,-2.786,3.015,0.217,0.432,27.0,65.0,1.13
dass_latent[36],-1.435,1.753,-5.264,0.429,0.768,0.569,4.0,26.0,1.51
dass_latent[37],-1.438,1.755,-5.383,0.323,0.769,0.52,4.0,28.0,1.52
dass_latent[38],-1.453,1.771,-5.173,0.487,0.787,0.58,4.0,20.0,1.5
dass_latent[39],-0.869,1.85,-5.099,1.881,0.237,0.627,49.0,29.0,1.13
dass_latent[40],-0.852,1.827,-4.537,2.812,0.222,0.616,52.0,55.0,1.1
dass_latent[41],-0.853,1.877,-5.052,2.285,0.235,0.669,51.0,30.0,1.12
dass_latent[42],0.267,0.854,-1.273,1.872,0.022,0.351,348.0,26.0,1.16
dass_latent[43],0.222,0.88,-1.344,2.002,0.022,0.319,501.0,36.0,1.17
dass_latent[44],0.239,0.844,-1.39,1.706,0.016,0.298,819.0,37.0,1.19
dass_latent[45],-0.245,0.93,-1.854,1.497,0.037,0.331,48.0,40.0,1.1
dass_latent[46],-0.254,0.849,-1.844,1.314,0.059,0.277,42.0,51.0,1.09
dass_latent[47],-0.244,0.893,-1.742,1.64,0.04,0.324,42.0,25.0,1.09
dass_latent[48],0.122,1.423,-2.563,2.72,0.186,0.43,42.0,42.0,1.19
dass_latent[49],0.12,1.33,-2.512,2.55,0.181,0.312,40.0,85.0,1.14
dass_latent[50],0.147,1.311,-2.389,2.542,0.174,0.354,40.0,64.0,1.15
dass_latent[51],0.649,0.945,-0.912,2.658,0.242,0.365,28.0,19.0,1.19
dass_latent[52],0.65,0.932,-0.863,2.587,0.204,0.37,47.0,21.0,1.18
dass_latent[53],0.65,0.895,-0.744,2.391,0.215,0.348,35.0,22.0,1.16
dass_latent[54],-0.645,1.754,-4.076,2.526,0.205,0.551,29.0,36.0,1.08
dass_latent[55],-0.629,1.739,-3.888,2.498,0.214,0.56,26.0,38.0,1.07
dass_latent[56],-0.618,1.728,-4.234,2.404,0.212,0.507,32.0,46.0,1.08
dass_latent[57],0.293,1.551,-2.516,3.396,0.213,0.359,43.0,62.0,1.1
dass_latent[58],0.313,1.521,-2.569,3.557,0.213,0.337,43.0,73.0,1.09
dass_latent[59],0.284,1.618,-2.797,3.268,0.213,0.407,44.0,68.0,1.11
dass_latent[60],-2.929,3.12,-9.738,0.219,1.495,0.981,3.0,16.0,1.78
dass_latent[61],-2.947,3.204,-9.957,0.106,1.541,1.054,3.0,18.0,1.79
dass_latent[62],-2.965,3.152,-9.737,0.224,1.527,0.983,3.0,16.0,1.79
dass_latent[63],0.302,0.77,-1.067,1.903,0.028,0.289,336.0,29.0,1.13
dass_latent[64],0.298,0.901,-1.41,2.035,0.024,0.36,562.0,24.0,1.19
dass_latent[65],0.278,0.795,-1.485,1.569,0.02,0.317,381.0,30.0,1.14
