gamma,observed_effect,adjusted_effect,still_significant,outcome
1.0,-0.4534375445042177,-0.4534375445042177,False,WCST PE Rate
1.5,-0.4534375445042177,-0.3022916963361451,False,WCST PE Rate
2.0,-0.4534375445042177,-0.22671877225210885,False,WCST PE Rate
2.5,-0.4534375445042177,-0.18137501780168708,False,WCST PE Rate
1.0,7.601862247617845,7.601862247617845,False,PRP Bottleneck
1.5,7.601862247617845,5.067908165078563,False,PRP Bottleneck
2.0,7.601862247617845,3.8009311238089225,False,PRP Bottleneck
2.5,7.601862247617845,3.040744899047138,False,PRP Bottleneck
1.0,0.4939979272440029,0.4939979272440029,False,WCST Accuracy
1.5,0.4939979272440029,0.3293319514960019,False,WCST Accuracy
2.0,0.4939979272440029,0.24699896362200144,False,WCST Accuracy
2.5,0.4939979272440029,0.19759917089760115,False,WCST Accuracy
