Factor1,Factor2,Factor3,Item
-0.8121607024986593,0.3381156071490767,-0.1982050678405184,Item1
0.7356023285938826,0.007821025578098169,0.1156482934010138,Item2
0.5283318565785831,0.20759487468021057,-0.4863576111999865,Item3
0.7697320167988555,0.2983931553267764,-0.11585480288947551,Item4
-0.7225527871888712,0.28630706323146826,-0.014006989552918429,Item5
-0.6924882523172584,0.2377855032985164,0.01943309176230426,Item6
0.826750239776703,0.11239225160306746,0.07934653431359318,Item7
0.7509421858116481,0.1935309167514035,-0.04097407432633827,Item8
-0.5531213788791903,0.36778592313458747,-0.1302204168524491,Item9
-0.7817033645145007,0.27440543333550427,-0.21654251406012162,Item10
0.7529214373982733,0.43116143557343,-0.07594361639196505,Item11
0.660900435112798,0.17144491726964883,0.2693638752114837,Item12
0.660162371952621,0.11392503897916936,-0.08347943306844707,Item13
0.7721423664565047,0.36038693291627893,0.2601258352694188,Item14
-0.5714294286452891,0.19135623893572273,0.25406209523868545,Item15
-0.7428343969520409,0.2077153334010307,0.22919217854205345,Item16
0.3696751218147661,-0.019959645786527754,0.2382728554690167,Item17
0.6496622141021039,0.1718362844838196,-0.12327052586444455,Item18
-0.7933891043760952,0.1319002950740315,0.1261548413687385,Item19
-0.6374776582222047,0.23359554516158287,0.48705303800875177,Item20
