,Factor1,Factor2
Item 1,-0.8009945770461749,-0.25728810296411714
Item 2,0.6971492046890494,0.060773725920318294
Item 3,0.5089444238871829,-0.23877677111689352
Item 4,0.7519042382274193,-0.35508584536031956
Item 5,-0.7326817481537936,-0.3139924604312975
Item 6,-0.6707177058865313,-0.2548369445666203
Item 7,0.7927014614121256,-0.15178325218727293
Item 8,0.7248991624247986,-0.17712909346017125
Item 9,-0.5826471026974559,-0.3095117350308567
Item 10,-0.7922939345323639,-0.302600851369987
Item 11,0.7145033815462006,-0.44162744014630445
Item 12,0.6187237866320456,-0.17381173226039098
Item 13,0.6760323500260615,-0.17844155232082667
Item 14,0.7314759716937524,-0.36073905642201115
Item 15,-0.5687627148178831,-0.19048170182191165
Item 16,-0.7518910618911279,-0.2261635010533034
Item 17,0.3766394715566249,-0.05126239839737138
Item 18,0.6580038190817278,-0.21659621190927109
Item 19,-0.8064682472407748,-0.1819627670496149
Item 20,-0.6305197586041001,-0.20133797360460318
