Factor1,Factor2,Item
-0.8120203362523486,0.3579847429989463,Item1
0.7397688074150958,-0.016079783249334498,Item2
0.5202511583167566,0.2876936838601508,Item3
0.7727071072546252,0.32481298257375973,Item4
-0.726473325612984,0.28961413974937705,Item5
-0.6949018804205014,0.22662330620894844,Item6
0.8255623020375846,0.09059406278057128,Item7
0.7476930187925122,0.20282246257729653,Item8
-0.5563822133416316,0.3801659309154059,Item9
-0.7835384252559275,0.31066795165625627,Item10
0.7496922570755812,0.43531446706619015,Item11
0.6595012885176458,0.11829976640949297,Item12
0.6670992715607476,0.15111767126385264,Item13
0.7626475174453611,0.2782563414622762,Item14
-0.5714341153529668,0.12006886373054762,Item15
-0.735176445153577,0.14433721236421235,Item16
0.3721077974302942,-0.06324635980304963,Item17
0.6503609850409484,0.2040038887599848,Item18
-0.7912857687403954,0.10012926113422108,Item19
-0.6189644073051199,0.11634703754137948,Item20
