participant_id,ucla_total,gender,age,pe_slope,pe_intercept,early_pe_rate,late_pe_rate,pe_change,n_trials,gender_coded,z_ucla,z_age,ucla_x_gender
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,32.0,female,23,0.02222222222222222,0.027777777777777776,0.05555555555555555,0.1111111111111111,0.05555555555555555,72,-1,-0.7982827329653127,1.2973999066504025,0.7982827329653127
2h5FgHUEvBS1twD5DqbTIRrMm1f2,65.0,male,23,-0.0035,0.14,0.12,0.12,0.0,99,1,1.89799172609595,1.2973999066504025,1.89799172609595
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,50.0,female,19,-0.0049999999999999975,0.0988095238095238,0.047619047619047616,0.047619047619047616,0.0,82,-1,0.6724124265226488,-0.671986618316361,-0.6724124265226488
5zxa5CMLGQSSonWOXqXf0QNS3PH3,54.0,male,19,0.022943722943722933,0.02272727272727275,0.045454545454545456,0.13636363636363635,0.0909090909090909,87,1,0.9992335730755291,-0.671986618316361,0.9992335730755291
62fAfeQc27bZelkPX7G54T3gvci2,49.0,female,26,0.011764705882352941,0.05718954248366013,0.05555555555555555,0.05555555555555555,0.0,70,-1,0.5907071398844287,2.774439800375475,-0.5907071398844287
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,57.0,female,20,0.021052631578947364,0.026315789473684216,0.05263157894736842,0.10526315789473684,0.05263157894736842,76,-1,1.2443494329901894,-0.17963998707467013,-1.2443494329901894
80UJMJbCOMgs6YVpsMgXfYTzw6o2,56.0,female,20,0.006209150326797387,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,71,-1,1.1626441463519692,-0.17963998707467013,-1.1626441463519692
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,42.0,female,20,0.024000000000000004,0.0016666666666666496,0.0,0.08,0.08,98,-1,0.018770133416888116,-0.17963998707467013,-0.018770133416888116
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,38.0,male,21,0.042857142857142844,0.0035714285714286004,0.0,0.14285714285714285,0.14285714285714285,82,1,-0.3080510131359922,0.3127066441670207,-0.3080510131359922
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,25.0,female,21,-0.008152173913043482,0.12771739130434784,0.08333333333333333,0.041666666666666664,-0.041666666666666664,94,-1,-1.3702197394328532,0.3127066441670207,1.3702197394328532
AsXBOflrszVNKoFqbN61bMJqS0k2,42.0,female,19,0.005128205128205128,0.1688034188034188,0.1111111111111111,0.19230769230769232,0.08119658119658121,105,-1,0.018770133416888116,-0.671986618316361,-0.018770133416888116
AyAnuCaltBbpEYbudoyNzTvXlcC2,62.0,female,22,0.010714285714285695,0.08928571428571433,0.0,0.07142857142857142,0.07142857142857142,112,-1,1.6528758661812897,0.8050532754087116,-1.6528758661812897
CDEoAyvS8feXLKMKsaZah9agEhF3,33.0,female,22,0.011764705882352936,0.05882352941176471,0.058823529411764705,0.11764705882352941,0.058823529411764705,68,-1,-0.7165774463270926,0.8050532754087116,0.7165774463270926
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,30.0,male,29,0.004940711462450591,0.10869565217391304,0.13043478260869565,0.13043478260869565,0.0,91,1,-0.9616933062417529,4.2514796941005475,-0.9616933062417529
CtJe4bZZnYUBNrcPk00d3YQFSGp2,45.0,female,22,-0.024999999999999994,0.2,0.2,0.05,-0.15000000000000002,80,-1,0.26388599333154833,0.8050532754087116,-0.26388599333154833
DPvStUYSmohmXwFwaKRqHv89R3k1,52.0,male,21,-0.006249999999999999,0.0625,0.0625,0.0625,0.0,63,1,0.8358229997990889,0.3127066441670207,0.8358229997990889
DzB19GqCB7fyrlEPexogWkjFzEx2,25.0,female,22,0.010789473684210522,0.07500000000000002,0.1,0.1,0.0,79,-1,-1.3702197394328532,0.8050532754087116,1.3702197394328532
EUhcW9kURScie1DwGPHqmNqotJB2,36.0,female,19,-0.015624999999999988,0.359375,0.46875,0.375,-0.09375,128,-1,-0.47146158641243235,-0.671986618316361,0.47146158641243235
Fz7EUjZCLuUBxLDUVtN6djaBTy42,49.0,male,19,-0.009523809523809521,0.14285714285714285,0.09523809523809523,0.047619047619047616,-0.047619047619047616,84,1,0.5907071398844287,-0.671986618316361,0.5907071398844287
GDZGRW51kbWtAdUIHCtEd8sAtqY2,26.0,female,21,0.03904761904761904,0.023809523809523822,0.047619047619047616,0.14285714285714285,0.09523809523809523,83,-1,-1.2885144527946333,0.3127066441670207,1.2885144527946333
GE4hogtdLdTFbNasENgtm6SO3hC3,56.0,female,19,-0.01727941176470588,0.08823529411764705,0.058823529411764705,0.0,-0.058823529411764705,67,-1,1.1626441463519692,-0.671986618316361,-1.1626441463519692
HyQM2xKwwuVfqidmRYF6TiRk90C2,21.0,male,19,-0.023571428571428566,0.14285714285714285,0.09523809523809523,0.047619047619047616,-0.047619047619047616,83,1,-1.6970408859857335,-0.671986618316361,-1.6970408859857335
K26uNuY0VNPjJNF26wEx3bFg0kr2,43.0,female,19,0.016666666666666663,0.058823529411764705,0.05555555555555555,0.1111111111111111,0.05555555555555555,70,-1,0.10047542005510819,-0.671986618316361,-0.10047542005510819
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,39.0,female,22,0.021739130434782608,0.021739130434782615,0.0,0.08695652173913043,0.08695652173913043,93,-1,-0.22634572649777213,0.8050532754087116,0.22634572649777213
LSLmd8jENtONZFVkIpRDX665Bu73,20.0,female,19,0.014285714285714282,0.07500000000000001,0.047619047619047616,0.09523809523809523,0.047619047619047616,82,-1,-1.7787461726239537,-0.671986618316361,1.7787461726239537
