spec_id,outlier_handling,covariates,error_metric,trial_filter,standardize,n,beta,se,t,p,p_sig,r_squared,ci_lower,ci_upper
7,none,none,total_errors,all,raw,151,0.12308134744471586,0.21578712019914204,0.5703831967873179,0.5692886232523156,False,0.021304241497415277,-0.2998614081456026,0.5460241030350342
8,none,none,total_errors,all,zscore,151,1.384201707241831,2.4267925756550452,0.5703831967873085,0.5692886232523219,False,0.021304241497415166,-3.3723117410420573,6.140715155525719
9,none,none,total_errors,valid_rt,raw,151,0.12308134744471586,0.21578712019914204,0.5703831967873179,0.5692886232523156,False,0.021304241497415277,-0.2998614081456026,0.5460241030350342
10,none,none,total_errors,valid_rt,zscore,151,1.384201707241831,2.4267925756550452,0.5703831967873085,0.5692886232523219,False,0.021304241497415166,-3.3723117410420573,6.140715155525719
11,none,none,total_errors,no_timeout,raw,151,0.12308134744471586,0.21578712019914204,0.5703831967873179,0.5692886232523156,False,0.021304241497415277,-0.2998614081456026,0.5460241030350342
12,none,none,total_errors,no_timeout,zscore,151,1.384201707241831,2.4267925756550452,0.5703831967873085,0.5692886232523219,False,0.021304241497415166,-3.3723117410420573,6.140715155525719
25,none,dass,total_errors,all,raw,150,0.1273280555229009,0.21738463451399054,0.5857270262342589,0.5589695192837766,False,0.025734907513220495,-0.29874582812452055,0.5534019391703223
26,none,dass,total_errors,all,zscore,150,1.4319611825321217,2.4447585964036276,0.5857270262342524,0.5589695192837809,False,0.025734907513220606,-3.3597656664189883,6.223688031483231
27,none,dass,total_errors,valid_rt,raw,150,0.1273280555229009,0.21738463451399054,0.5857270262342589,0.5589695192837766,False,0.025734907513220495,-0.29874582812452055,0.5534019391703223
28,none,dass,total_errors,valid_rt,zscore,150,1.4319611825321217,2.4447585964036276,0.5857270262342524,0.5589695192837809,False,0.025734907513220606,-3.3597656664189883,6.223688031483231
29,none,dass,total_errors,no_timeout,raw,150,0.1273280555229009,0.21738463451399054,0.5857270262342589,0.5589695192837766,False,0.025734907513220495,-0.29874582812452055,0.5534019391703223
30,none,dass,total_errors,no_timeout,zscore,150,1.4319611825321217,2.4447585964036276,0.5857270262342524,0.5589695192837809,False,0.025734907513220606,-3.3597656664189883,6.223688031483231
43,none,dass_age,total_errors,all,raw,150,0.1259042662288886,0.21804156621090293,0.5774324062005058,0.5645491251277917,False,0.026849084263618872,-0.30145720354448113,0.5532657360022584
44,none,dass_age,total_errors,all,zscore,150,1.4159489141223065,2.452146604377906,0.5774324062004946,0.5645491251277992,False,0.02684908426361876,-3.3902584304583887,6.222156258703002
45,none,dass_age,total_errors,valid_rt,raw,150,0.1259042662288886,0.21804156621090293,0.5774324062005058,0.5645491251277917,False,0.026849084263618872,-0.30145720354448113,0.5532657360022584
46,none,dass_age,total_errors,valid_rt,zscore,150,1.4159489141223065,2.452146604377906,0.5774324062004946,0.5645491251277992,False,0.02684908426361876,-3.3902584304583887,6.222156258703002
47,none,dass_age,total_errors,no_timeout,raw,150,0.1259042662288886,0.21804156621090293,0.5774324062005058,0.5645491251277917,False,0.026849084263618872,-0.30145720354448113,0.5532657360022584
48,none,dass_age,total_errors,no_timeout,zscore,150,1.4159489141223065,2.452146604377906,0.5774324062004946,0.5645491251277992,False,0.02684908426361876,-3.3902584304583887,6.222156258703002
61,winsorize_95,none,total_errors,all,raw,151,0.14156149948885452,0.1623019734085146,0.8722105869442743,0.3845158949308506,False,0.03206781840194517,-0.1765503683918341,0.4596733673695431
62,winsorize_95,none,total_errors,all,zscore,151,1.5920338324229077,1.825286067669167,0.8722105869442619,0.38451589493085736,False,0.03206781840194517,-1.985526860208659,5.169594525054475
63,winsorize_95,none,total_errors,valid_rt,raw,151,0.14156149948885452,0.1623019734085146,0.8722105869442743,0.3845158949308506,False,0.03206781840194517,-0.1765503683918341,0.4596733673695431
64,winsorize_95,none,total_errors,valid_rt,zscore,151,1.5920338324229077,1.825286067669167,0.8722105869442619,0.38451589493085736,False,0.03206781840194517,-1.985526860208659,5.169594525054475
65,winsorize_95,none,total_errors,no_timeout,raw,151,0.14156149948885452,0.1623019734085146,0.8722105869442743,0.3845158949308506,False,0.03206781840194517,-0.1765503683918341,0.4596733673695431
66,winsorize_95,none,total_errors,no_timeout,zscore,151,1.5920338324229077,1.825286067669167,0.8722105869442619,0.38451589493085736,False,0.03206781840194517,-1.985526860208659,5.169594525054475
79,winsorize_95,dass,total_errors,all,raw,150,0.14076641973139348,0.16332988500000792,0.861853418505662,0.3901912494502684,False,0.03614437800112891,-0.17936015486862206,0.460892994331409
80,winsorize_95,dass,total_errors,all,zscore,150,1.583092178951287,1.8368462025667545,0.8618534185056544,0.3901912494502725,False,0.036144378001128685,-2.017126378079552,5.1833107359821255
81,winsorize_95,dass,total_errors,valid_rt,raw,150,0.14076641973139348,0.16332988500000792,0.861853418505662,0.3901912494502684,False,0.03614437800112891,-0.17936015486862206,0.460892994331409
82,winsorize_95,dass,total_errors,valid_rt,zscore,150,1.583092178951287,1.8368462025667545,0.8618534185056544,0.3901912494502725,False,0.036144378001128685,-2.017126378079552,5.1833107359821255
83,winsorize_95,dass,total_errors,no_timeout,raw,150,0.14076641973139348,0.16332988500000792,0.861853418505662,0.3901912494502684,False,0.03614437800112891,-0.17936015486862206,0.460892994331409
84,winsorize_95,dass,total_errors,no_timeout,zscore,150,1.583092178951287,1.8368462025667545,0.8618534185056544,0.3901912494502725,False,0.036144378001128685,-2.017126378079552,5.1833107359821255
