label,manuscript,output,diff,status
Age SD (method),3.48,3.371227494388591,-0.10877250561140883,diff
Age mean (method),20.4,20.382075471698112,-0.01792452830188651,diff
Both tasks N (method),209.0,212.0,3.0,diff
Correlation p (DASS Anxiety),0.001,1.2288847621940506e-14,-0.0009999999999877112,threshold_match
Correlation p (DASS Depression),0.001,3.2336847135335967e-28,-0.001,threshold_match
Correlation p (DASS Stress),0.001,3.7394923668768185e-18,-0.0009999999999999963,threshold_match
Correlation p (Stroop Interference RT Slope),0.001,0.0002038934610788,-0.0007961065389212,diff
Correlation p (Stroop Interference RT),0.846,0.8465784181425675,0.0005784181425675383,diff
Correlation p (WCST Confirmation - Exploitation RT (ms)),0.008,0.1255344711979846,0.1175344711979846,diff
Correlation p (WCST Confirmation RT (ms)),0.005,0.0469479933797569,0.0419479933797569,diff
Correlation p (WCST Exploitation RT (ms)),0.23,0.1818690008961927,-0.048130999103807304,diff
Correlation p (WCST Perseverative Error Rate (%)),0.102,0.1022074107665068,0.00020741076650680756,rounded_match
Correlation r (DASS Anxiety),0.497,0.4971856667900842,0.0001856667900841935,rounded_match
Correlation r (DASS Depression),0.663,0.6630124738444944,1.2473844494320652e-05,rounded_match
Correlation r (DASS Stress),0.55,0.5499267615364971,-7.323846350293373e-05,rounded_match
Correlation r (Stroop Interference RT Slope),0.223,0.2524371607862727,0.029437160786272704,diff
Correlation r (Stroop Interference RT),0.013,0.0133671051759041,0.00036710517590409983,rounded_match
Correlation r (WCST Confirmation - Exploitation RT (ms)),0.182,0.1055447641209244,-0.0764552358790756,diff
Correlation r (WCST Confirmation RT (ms)),0.194,0.1366191260418092,-0.0573808739581908,diff
Correlation r (WCST Exploitation RT (ms)),0.083,0.0920391406728898,0.0090391406728898,diff
Correlation r (WCST Perseverative Error Rate (%)),-0.113,-0.1125489234791619,0.00045107652083810346,rounded_match
Male % (method),39.0,38.67924528301887,-0.3207547169811278,diff
Overall N (abstract),212.0,212.0,0.0,match
Stroop N (method),220.0,212.0,-8.0,diff
Table1 Mean (Stroop Interference RT Slope),-0.13,-0.8554156905505442,-0.7254156905505442,diff
Table1 Mean (Stroop Interference RT),138.03,139.4661616695092,1.4361616695092039,diff
Table1 Mean (WCST Confirmation RT (ms)),1784.92,1899.6890835831043,114.76908358310425,diff
Table1 Mean (WCST Exploitation RT (ms)),1338.42,1383.4807521839311,45.06075218393107,diff
Table1 Mean (WCST Exploration RT (ms)),1611.14,2016.626372052596,405.4863720525959,diff
Table1 Mean (WCST Perseverative Error Rate (%)),10.7,10.69543862806551,-0.0045613719344892445,diff
Table1 N (Stroop Interference RT Slope),212.0,212.0,0.0,match
Table1 N (Stroop Interference RT),212.0,212.0,0.0,match
Table1 N (WCST Confirmation RT (ms)),209.0,212.0,3.0,diff
Table1 N (WCST Exploitation RT (ms)),209.0,212.0,3.0,diff
Table1 N (WCST Exploration RT (ms)),207.0,209.0,2.0,diff
Table1 N (WCST Perseverative Error Rate (%)),212.0,212.0,0.0,match
Table1 SD (Stroop Interference RT Slope),61.66,63.53871403511607,1.8787140351160758,diff
Table1 SD (Stroop Interference RT),100.44,104.26386222396148,3.823862223961484,diff
Table1 SD (WCST Confirmation RT (ms)),515.09,621.080545461709,105.99054546170896,diff
Table1 SD (WCST Exploitation RT (ms)),345.0,401.71613271179217,56.71613271179217,diff
Table1 SD (WCST Exploration RT (ms)),534.98,645.0745692372232,110.09456923722314,diff
Table1 SD (WCST Perseverative Error Rate (%)),6.1,6.099151005418849,-0.0008489945811502864,diff
Table2 ?R? (Stroop Interference RT Slope),0.047,0.0667214741174857,0.019721474117485704,diff
Table2 ?R? (Stroop Interference RT),0.002,0.0011243620539489,-0.0008756379460511,diff
Table2 ?R? (WCST Confirmation - Exploitation RT (ms)),0.077,0.0503760802279674,-0.0266239197720326,diff
Table2 ?R? (WCST Confirmation RT (ms)),0.043,0.0411483137162181,-0.001851686283781899,diff
Table2 ?R? (WCST Exploitation RT (ms)),0.001,0.003620594944991,0.002620594944991,diff
Table2 ?R? (WCST Perseverative Error Rate (%)),0.001,0.0003878203625329,-0.0006121796374671,threshold_match
Table2 N (Stroop Interference RT Slope),212.0,212.0,0.0,match
Table2 N (Stroop Interference RT),212.0,212.0,0.0,match
Table2 N (WCST Confirmation - Exploitation RT (ms)),209.0,212.0,3.0,diff
Table2 N (WCST Confirmation RT (ms)),209.0,212.0,3.0,diff
Table2 N (WCST Exploitation RT (ms)),209.0,212.0,3.0,diff
Table2 N (WCST Perseverative Error Rate (%)),212.0,212.0,0.0,match
Table2 SE (Stroop Interference RT Slope),5.65,5.78105033917716,0.13105033917715936,diff
Table2 SE (Stroop Interference RT),9.48,9.913276423798472,0.4332764237984712,diff
Table2 SE (WCST Confirmation - Exploitation RT (ms)),36.07,41.99307897976293,5.923078979762927,diff
Table2 SE (WCST Confirmation RT (ms)),47.4,57.24415150640429,9.844151506404295,diff
