predictor,beta,se,p
Intercept,0.37501152224118106,0.015155892465515157,3.632188825069103e-135
C(gender_male)[T.1],-0.05326948631058362,0.021374942193547915,0.012697367104446322
z_ucla,-0.022132450771121658,0.015851718413630544,0.16264893022416838
z_ucla:C(gender_male)[T.1],0.027837021195062043,0.020711075626720657,0.17892753533317807
z_dass_dep,-0.01693868410274698,0.013738358094397305,0.21759508489016977
z_dass_anx,0.0010772786233561387,0.01596614319860746,0.9462054030480539
z_dass_str,0.0008622458556025463,0.016797975986160226,0.9590622903887989
z_age,-0.0008955623483112979,0.008769252549693197,0.918657237525831
