participant_id,drift_congruent,drift_incongruent,drift_neutral,stroop_interference,pop_interference_mean,pop_interference_sd
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.4628007659821366,0.2767426693145511,0.457864826026226,0.1860580966675855,0.013416505782280343,0.028231073468044446
2h5FgHUEvBS1twD5DqbTIRrMm1f2,0.5060029744332301,0.34576441654412327,0.5019918711116911,0.1602385578891068,0.013416505782280343,0.028231073468044446
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,0.48381552047447535,0.43683403939736326,0.5027598434161392,0.046981481077112086,0.013416505782280343,0.028231073468044446
5zxa5CMLGQSSonWOXqXf0QNS3PH3,0.6896776741936488,0.5113200699825409,0.537400081697504,0.1783576042111079,0.013416505782280343,0.028231073468044446
62fAfeQc27bZelkPX7G54T3gvci2,0.43643831569323527,0.39906931665136036,0.26309739528308734,0.037368999041874906,0.013416505782280343,0.028231073468044446
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,0.4221458799835472,0.3952403126851551,0.39255702803801756,0.026905567298392108,0.013416505782280343,0.028231073468044446
80UJMJbCOMgs6YVpsMgXfYTzw6o2,0.5134370233007498,0.4882140832418953,0.4899964167699833,0.025222940058854504,0.013416505782280343,0.028231073468044446
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,0.4276723692482225,1.5478606683738343,0.4172905893033543,-1.1201882991256118,0.013416505782280343,0.028231073468044446
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,0.4702738826734608,0.43803086622964715,0.4834269368426255,0.032243016443813666,0.013416505782280343,0.028231073468044446
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,0.44445028597076297,0.4004189829217983,0.45039174715823665,0.04403130304896469,0.013416505782280343,0.028231073468044446
AsXBOflrszVNKoFqbN61bMJqS0k2,0.5040949470856368,0.19516887924430712,0.29333626005468544,0.3089260678413297,0.013416505782280343,0.028231073468044446
AyAnuCaltBbpEYbudoyNzTvXlcC2,0.1515808555020829,0.42736126870352903,0.43933337777319176,-0.27578041320144614,0.013416505782280343,0.028231073468044446
CDEoAyvS8feXLKMKsaZah9agEhF3,0.4972482592490053,0.442930253452972,0.47206582298531574,0.0543180057960333,0.013416505782280343,0.028231073468044446
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,0.45176634628270806,0.23944655706744633,0.4353992726921243,0.21231978921526173,0.013416505782280343,0.028231073468044446
CtJe4bZZnYUBNrcPk00d3YQFSGp2,0.4985416883457715,0.46580945922473654,0.4842041874159529,0.03273222912103496,0.013416505782280343,0.028231073468044446
DPvStUYSmohmXwFwaKRqHv89R3k1,0.4489457486767072,1.1170191210192455,0.4428818172334008,-0.6680733723425383,0.013416505782280343,0.028231073468044446
DzB19GqCB7fyrlEPexogWkjFzEx2,0.40012889324769496,0.37202030076660275,0.38543085579772673,0.02810859248109221,0.013416505782280343,0.028231073468044446
EUhcW9kURScie1DwGPHqmNqotJB2,0.41354687344045526,1.0219910153507474,0.4044427746790696,-0.6084441419102922,0.013416505782280343,0.028231073468044446
Fz7EUjZCLuUBxLDUVtN6djaBTy42,0.4421956029926575,0.4227427977404561,0.434516488716848,0.01945280525220139,0.013416505782280343,0.028231073468044446
