fold,model,mdl__max_depth,mdl__min_samples_leaf,mdl__n_estimators,mdl__learning_rate
1,rf,,1.0,300,
2,gbrt,3.0,,300,0.1
3,rf,,3.0,600,
4,gbrt,2.0,,600,0.1
5,gbrt,2.0,,600,0.1
