model,Accuracy,F1,Precision,Recall,ROC_AUC,PR_AUC,BestThreshold,TP,FP,TN,FN,n
logreg,0.8556701030927835,0.6111111111111112,0.7857142857142857,0.5,0.8333333333333334,0.715733652861393,0.8083405778576289,11,3,72,11,97
rf,0.7319587628865979,0.6060606060606061,0.45454545454545453,0.9090909090909091,0.8406060606060605,0.6960861091998047,0.114,20,24,51,2,97
gbrt,0.8247422680412371,0.5853658536585366,0.631578947368421,0.5454545454545454,0.7472727272727272,0.6349709917395989,0.7755051922799703,12,7,68,10,97
