param,model,post_mean,post_sd,prior_sd,post_pdf_at0,prior_pdf_at0,BF01,BF10
beta_ucla,bayes_stroop_summary,0.13352532126852049,0.19029435601107464,1.0,1.638971280170524,0.3989422804014327,4.108291752183603,0.24341017150704763
beta_ucla,bayes_prp_summary,-0.03175299810309739,0.1912944001180803,1.0,2.0569550685364995,0.3989422804014327,5.156021734439137,0.19394797995528198
beta_ucla,glmm_stroop_logrt,0.0337561516111399,0.03287525511216661,1.0,7.163096668719782,0.3989422804014327,17.955220643728133,0.05569410812834016
beta_ucla:cond,glmm_stroop_logrt,0.0017680580189705607,0.007541468599638513,1.0,51.465806132281344,0.3989422804014327,129.00564482785393,0.007751598787281031
beta_ucla,glmm_prp_logt2rt,0.022355267805170574,0.037072695062587945,1.0,8.972142430009752,0.3989422804014327,22.489825899078937,0.044464550525531395
beta_ucla:soa,glmm_prp_logt2rt,0.00910252263046853,0.008514122602102239,1.0,26.458931117290927,0.3989422804014327,66.32270485511545,0.015077792773749793
