variable,n,pearson_r,pearson_p,spearman_rho,spearman_p
Stroop PES,12,0.08500802782398907,0.7928031608709543,0.07017587058225039,0.8284305273711023
PRP PES,35,0.0033185084113180547,0.9849052599790694,0.04597380299440391,0.7931321671331906
