outcome,r_squared,adj_r_squared,AIC,BIC,p_value,nobs
Stroop interference (ms),0.11278466142769061,0.04453732769135921,1022.5528933758433,1039.6514521712754,0.2398429471839301,85
PRP bottleneck (short-long RT),0.19717098519261234,0.13207674074877007,1043.9055370929934,1060.6666811757004,0.015253060393374788,81
WCST total errors,0.07083544598313707,-0.007685502243640174,633.0546652925522,649.5516270793793,0.21194349992161432,78
Latent meta-control factor,0.1402421201441626,0.06654858758509086,231.96952671583875,248.37616466881454,0.13127286791374518,77
