gender,n,outcome,r,p
Female,45,Stroop,-0.01380769513688217,0.9282692774395924
Female,45,WCST,-0.24910081516660842,0.09891774990575282
Female,45,PRP,-0.09759027472850018,0.5236309209659272
Male,27,Stroop,0.11453313154742727,0.5694592217653995
Male,27,WCST,0.24054048033831474,0.22682216961576263
Male,27,PRP,0.33134750166092314,0.09134631141040969
