outcome,r_observed,p_value,boot_ci_lower,boot_ci_upper,prop_positive,excludes_zero
Stroop 간섭,0.02919818706949629,0.8076408193949075,-0.20255790833779264,0.2753117493294838,0.5952,False
WCST 보속오류율,-0.09965377436939644,0.4049195946532965,-0.2621664330862845,0.06850652217867383,0.1194,False
PRP 병목효과,0.05993966821333106,0.6169668544427461,-0.19046120806198094,0.290866221987161,0.6748,False
