outcome,n,model1_r2,model1_ucla_beta,model1_ucla_p,model2_r2,model2_ucla_beta,model2_ucla_p,delta_r2
Stroop CV,72,0.07598870344844866,-0.006009089709928709,0.37421353015431225,0.11283350857788987,0.007002190941390558,0.5078295391868115,0.036844805129441216
PRP CV,71,0.032800000899511184,-0.007497323727679214,0.2590366171206275,0.12480684548237642,0.005856310003125481,0.5639503286151669,0.09200684458286523
