,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_drift_congruent,0.458,0.02,0.419,0.495,0.0,0.0,7449.508,5728.915,1.0
mu_drift_neutral,0.463,0.02,0.426,0.5,0.0,0.0,10701.791,6031.343,1.0
interference_effect,0.013,0.028,-0.039,0.067,0.0,0.0,7461.053,6228.624,1.0
mu_boundary,0.147,0.003,0.142,0.152,0.0,0.0,10489.238,5687.874,1.0
sigma_drift,0.181,0.008,0.165,0.196,0.0,0.0,10814.012,5900.122,1.0
sigma_boundary,0.025,0.002,0.021,0.029,0.0,0.0,11207.701,5713.857,1.001
mu_drift_incongruent,0.471,0.02,0.433,0.507,0.0,0.0,8897.434,6595.344,1.001
