,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_dep,-0.126,0.104,-0.326,0.069,0.003,0.002,938.0,552.0,1.0
mu_anx,0.039,0.12,-0.203,0.258,0.005,0.003,513.0,615.0,1.01
mu_str,0.033,0.116,-0.201,0.259,0.002,0.002,2193.0,3002.0,1.0
tau_dep,0.117,0.112,0.004,0.341,0.003,0.003,244.0,75.0,1.02
tau_anx,0.137,0.126,0.005,0.388,0.004,0.004,320.0,94.0,1.02
tau_str,0.144,0.12,0.007,0.381,0.003,0.003,1046.0,1213.0,1.01
