,estimate,std_error,z,P>|z|,conf_low,conf_high
Intercept,9.386263848983464,4.267814264398317,2.1993140440254737,0.02785559978199875,1.0215015980564601,17.75102609991047
stroop_effect,-0.0040843556487997305,0.008295592053565205,-0.49235251955819026,0.6224701584365704,-0.0203434173042242,0.01217470600662474
prp_bottleneck,0.0019428302594454553,0.005987038854903074,0.32450603821526536,0.7455549515594317,-0.009791550270206496,0.013677210789097408
wcst_total_errors,-0.1396911713064739,0.047236941546389515,-2.9572441977279325,0.003104021818410909,-0.23227387547722111,-0.047108467135726695
