,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
without_ucla,0,-1579.6611562019013,80.02052429733135,0.0,0.7166334136109673,80.34302892637155,0.0,False,log
with_ucla,1,-1580.6332921971991,80.86615531525422,0.9721359952976742,0.2833665863890325,80.26626937048333,0.34900479806933704,False,log
