feature,importance_mean,importance_std
stroop_effect,0.052770439007140936,0.0064049311589546585
stroop_accuracy,0.03320334838448098,0.00503619451181541
mrt_incong,0.0507295164101,0.006335990398332174
mrt_cong,0.032880792551681054,0.00478495367283124
mrt_total,0.05306312545960263,0.009355525682398932
stroop_ratio_incong_cong,0.04120379071225097,0.0048148127085267485
prp_bottleneck,0.03913379138717525,0.0032344484398591955
prp_rt_slope,0.03867064676400831,0.003064298839972804
prp_mrt_t1,0.1341436121121319,0.014507055389522582
prp_mrt_t2,0.19278834067541087,0.030402164632379776
prp_acc_t1,0.07474388201363888,0.015382051494844085
prp_acc_t2,0.024366481436797798,0.004093713239634347
wcst_total_errors,0.051882691943012385,0.009335263497396003
wcst_persev_errors,0.03124734278794039,0.002738994460485414
wcst_nonpersev_errors,0.05190531927899083,0.011105267001083772
wcst_conceptual_pct,0.10237008448749056,0.01468656550928748
wcst_persev_resp_pct,0.08651493149543926,0.008950444437800978
wcst_failure_to_maintain_set,0.0064133202321435675,0.0012054975823505172
