outcome,n,waic0,waic1,elpd_waic_diff,loo0,loo1,elpd_loo_diff
stroop_effect,81,-794.4582900948086,-796.2280590556949,-1.7697689608862675,-794.3703651119172,-796.3859045788115,-2.0155394668943245
prp_bottleneck,77,-1090.924699125676,-1092.4523865469955,-1.5276874213195697,-1091.221371722996,-1092.519810723063,-1.2984390000669919
wcst_total_errors,74,-322.7894094717808,-322.4619296550162,0.32747981676459403,-322.39430839349575,-322.4307208251238,-0.03641243162803676
