mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,term,model
0.14,0.008,0.125,0.154,0.0,0.0,2018.825,2068.717,1.001,cond,stroop_logrt
0.034,0.033,-0.025,0.097,0.002,0.001,203.15,360.836,1.028,ucla,stroop_logrt
-0.004,0.034,-0.068,0.06,0.002,0.001,283.363,513.146,1.021,dass_dep,stroop_logrt
-0.022,0.033,-0.082,0.041,0.002,0.002,185.245,238.902,1.012,dass_anx,stroop_logrt
-0.014,0.032,-0.075,0.044,0.002,0.001,205.476,423.914,1.022,dass_stress,stroop_logrt
0.002,0.008,-0.013,0.016,0.0,0.0,2097.498,2043.871,1.001,ucla:cond,stroop_logrt
