R2,RMSE,MAE,feature_set,model,n
-0.8386696842918286,10.211642852538404,7.568959892566139,ef_basic,ridge,84
-0.9412697215580583,10.492686561616338,7.706569679860503,ef_basic,lasso,84
-0.34735555108769334,8.741477969184109,7.08126533012779,ef_basic,rf,84
-0.6319877853556486,9.620601178077264,7.783600702814679,ef_basic,gbrt,84
-0.7538794478767101,9.97340898797434,7.258576477866859,ef_extended,ridge,84
-0.7161503231862807,9.865552739848845,7.323847573695562,ef_extended,lasso,84
-0.29952499622628315,8.584916553892004,6.8670994391752735,ef_extended,rf,84
-0.4830775999336079,9.171190132395166,7.410404336274165,ef_extended,gbrt,84
-0.5652562108794881,9.42185632268936,6.759740046235921,ef_plus_meta,ridge,84
-0.6195444310404674,9.583854084659936,6.868439092369277,ef_plus_meta,lasso,84
-0.2854399325773791,8.538265457006041,6.80781050401035,ef_plus_meta,rf,84
-0.42338688493486654,8.984734317103019,7.174681838491752,ef_plus_meta,gbrt,84
