outcome,gender_int_coef,gender_int_p,age_int_coef,age_int_p,dass_int_coef,dass_int_p
Stroop 간섭,1.7549432326267773,0.37441842893016997,0.056542252928567516,0.9032988972132727,-0.01106255159155195,0.9303695830837213
WCST 보속오류율,0.2105810238719749,0.028912065389009062,0.014516899112801969,0.528398773585526,0.0005829767577652367,0.925960732107444
PRP 병목효과,4.97066423509342,0.07287781899977468,-1.2625593585546406,0.05185786326752055,0.030826211807460924,0.8634688765298715
