spec_id,outcome,predictor,covars,outlier,y_transform,n,estimate,std_error,p_value,sign,q_value
1,stroop_effect,z_ucla,full,none,raw,81,17.5498230739274,18.015059129697864,0.3299695770079708,1.0,0.6706225515978977
2,stroop_effect,z_ucla,full,none,z,81,0.1798091086623912,0.18457574819791833,0.32996957700797025,1.0,0.6706225515978977
3,stroop_effect,z_ucla,full,winsor1,raw,81,17.941578750665624,17.890529492631742,0.31593158806849475,1.0,0.6706225515978977
4,stroop_effect,z_ucla,full,winsor1,z,81,0.18485152004728353,0.18432556115169285,0.3159315880684941,1.0,0.6706225515978977
5,stroop_effect,z_ucla,full,ztrim3,raw,81,17.5498230739274,18.015059129697864,0.3299695770079708,1.0,0.6706225515978977
6,stroop_effect,z_ucla,full,ztrim3,z,81,0.1798091086623912,0.18457574819791833,0.32996957700797025,1.0,0.6706225515978977
7,stroop_effect,z_ucla,nodemog,none,raw,81,13.092840938622235,17.19172407222781,0.4463118362957097,1.0,0.6706225515978977
8,stroop_effect,z_ucla,nodemog,none,z,81,0.13414448961195632,0.17614015644348485,0.4463118362957099,1.0,0.6706225515978977
9,stroop_effect,z_ucla,nodemog,winsor1,raw,81,13.438667145340634,17.095037378184514,0.4318000543470619,1.0,0.6706225515978977
10,stroop_effect,z_ucla,nodemog,winsor1,z,81,0.1384581637852544,0.17612963098385626,0.43180005434706215,1.0,0.6706225515978977
11,stroop_effect,z_ucla,nodemog,ztrim3,raw,81,13.092840938622235,17.19172407222781,0.4463118362957097,1.0,0.6706225515978977
12,stroop_effect,z_ucla,nodemog,ztrim3,z,81,0.13414448961195632,0.17614015644348485,0.4463118362957099,1.0,0.6706225515978977
13,stroop_effect,z_ucla,dass_total,none,raw,82,8.433416890481254,15.911977606944806,0.5961089347536865,1.0,0.6706225515978977
14,stroop_effect,z_ucla,dass_total,none,z,82,0.0864057243009252,0.16302833928914326,0.5961089347536869,1.0,0.6706225515978977
15,stroop_effect,z_ucla,dass_total,winsor1,raw,82,8.856390604120072,15.765371939378372,0.5742780243709351,1.0,0.6706225515978977
16,stroop_effect,z_ucla,dass_total,winsor1,z,82,0.09124711309161333,0.1624301299012921,0.5742780243709353,1.0,0.6706225515978977
17,stroop_effect,z_ucla,dass_total,ztrim3,raw,82,8.433416890481254,15.911977606944806,0.5961089347536865,1.0,0.6706225515978977
18,stroop_effect,z_ucla,dass_total,ztrim3,z,82,0.0864057243009252,0.16302833928914326,0.5961089347536869,1.0,0.6706225515978977
19,prp_bottleneck,z_ucla,full,none,raw,77,-16.90804167327168,28.960724844831482,0.5593369764758543,-1.0,0.6706225515978977
20,prp_bottleneck,z_ucla,full,none,z,77,-0.10658931197729841,0.18257015183811687,0.5593369764758513,-1.0,0.6706225515978977
21,prp_bottleneck,z_ucla,full,winsor1,raw,77,-14.950816992966109,28.06515172904328,0.5942286685264504,-1.0,0.6706225515978977
22,prp_bottleneck,z_ucla,full,winsor1,z,77,-0.09505714107580891,0.17843794680095001,0.5942286685264471,-1.0,0.6706225515978977
23,prp_bottleneck,z_ucla,full,ztrim3,raw,77,-16.90804167327168,28.960724844831482,0.5593369764758543,-1.0,0.6706225515978977
24,prp_bottleneck,z_ucla,full,ztrim3,z,77,-0.10658931197729841,0.18257015183811687,0.5593369764758513,-1.0,0.6706225515978977
25,prp_bottleneck,z_ucla,nodemog,none,raw,77,-19.514642815355224,30.95101885401066,0.5283669654413583,-1.0,0.6706225515978977
26,prp_bottleneck,z_ucla,nodemog,none,z,77,-0.12302148240263582,0.1951170850176287,0.5283669654413583,-1.0,0.6706225515978977
27,prp_bottleneck,z_ucla,nodemog,winsor1,raw,77,-17.59048251779752,29.852951134003806,0.5557018696888183,-1.0,0.6706225515978977
28,prp_bottleneck,z_ucla,nodemog,winsor1,z,77,-0.11184010740499901,0.1898047570784438,0.555701869688818,-1.0,0.6706225515978977
29,prp_bottleneck,z_ucla,nodemog,ztrim3,raw,77,-19.514642815355224,30.95101885401066,0.5283669654413583,-1.0,0.6706225515978977
30,prp_bottleneck,z_ucla,nodemog,ztrim3,z,77,-0.12302148240263582,0.1951170850176287,0.5283669654413583,-1.0,0.6706225515978977
31,prp_bottleneck,z_ucla,dass_total,none,raw,78,-10.921565906722964,26.418865404812,0.6793133819680857,-1.0,0.705440819736089
32,prp_bottleneck,z_ucla,dass_total,none,z,78,-0.06885020856984088,0.16654611699776184,0.6793133819680841,-1.0,0.705440819736089
33,prp_bottleneck,z_ucla,dass_total,winsor1,raw,78,-9.281678858399264,25.71481776335244,0.7181392848164556,-1.0,0.7181392848164556
34,prp_bottleneck,z_ucla,dass_total,winsor1,z,78,-0.059012818970247495,0.1634945475568117,0.7181392848164538,-1.0,0.7181392848164556
35,prp_bottleneck,z_ucla,dass_total,ztrim3,raw,78,-10.921565906722964,26.418865404812,0.6793133819680857,-1.0,0.705440819736089
36,prp_bottleneck,z_ucla,dass_total,ztrim3,z,78,-0.06885020856984088,0.16654611699776184,0.6793133819680841,-1.0,0.705440819736089
37,wcst_total_errors,z_ucla,full,none,raw,74,2.5715514415508736,2.9371705234619943,0.38129105049650114,1.0,0.6706225515978977
38,wcst_total_errors,z_ucla,full,none,z,74,0.19003139167299626,0.21704975180965538,0.38129105049649514,1.0,0.6706225515978977
39,wcst_total_errors,z_ucla,full,winsor1,raw,74,2.6214871133704047,2.9264680772886256,0.3703674371553084,1.0,0.6706225515978977
40,wcst_total_errors,z_ucla,full,winsor1,z,74,0.19736063687166702,0.22032135903796482,0.3703674371553025,1.0,0.6706225515978977
41,wcst_total_errors,z_ucla,full,ztrim3,raw,72,1.1082048649183607,2.0629185173471676,0.5911277847221776,1.0,0.6706225515978977
42,wcst_total_errors,z_ucla,full,ztrim3,z,72,0.11814277651074383,0.21992226263397283,0.5911277847221788,1.0,0.6706225515978977
43,wcst_total_errors,z_ucla,nodemog,none,raw,74,2.914395838022556,2.826738417604616,0.3025360869042699,1.0,0.6706225515978977
44,wcst_total_errors,z_ucla,nodemog,none,z,74,0.21536675799547744,0.20888908800866213,0.30253608690427003,1.0,0.6706225515978977
45,wcst_total_errors,z_ucla,nodemog,winsor1,raw,74,2.9542430645155218,2.8195865807957996,0.2947503353934946,1.0,0.6706225515978977
46,wcst_total_errors,z_ucla,nodemog,winsor1,z,74,0.22241241992483518,0.21227470486597477,0.2947503353934945,1.0,0.6706225515978977
47,wcst_total_errors,z_ucla,nodemog,ztrim3,raw,72,1.3641166036610666,1.9361816509768357,0.4810968115070663,1.0,0.6706225515978977
48,wcst_total_errors,z_ucla,nodemog,ztrim3,z,72,0.14542484710423773,0.20641118200867234,0.4810968115070655,1.0,0.6706225515978977
49,wcst_total_errors,z_ucla,dass_total,none,raw,75,2.148103664135215,2.571337489004196,0.4034907073493528,1.0,0.6706225515978977
50,wcst_total_errors,z_ucla,dass_total,none,z,75,0.1587396317093652,0.19001558110061345,0.4034907073493528,1.0,0.6706225515978977
51,wcst_total_errors,z_ucla,dass_total,winsor1,raw,75,2.19986980309859,2.5578861734474874,0.3897701443272703,1.0,0.6706225515978977
52,wcst_total_errors,z_ucla,dass_total,winsor1,z,75,0.1656188592955084,0.19257239208312368,0.3897701443272703,1.0,0.6706225515978977
53,wcst_total_errors,z_ucla,dass_total,ztrim3,raw,73,1.1254611322796704,1.8672497000196124,0.5466834316683509,1.0,0.6706225515978977
54,wcst_total_errors,z_ucla,dass_total,ztrim3,z,73,0.11998242132986972,0.19906252984679187,0.5466834316683511,1.0,0.6706225515978977
