fold,model,Accuracy,F1,Precision,Recall,ROC_AUC,PR_AUC
1,rf,0.7222222222222222,0.0,0.0,0.0,0.5538461538461538,0.4016806722689076
2,gbrt,0.7777777777777778,0.5,0.6666666666666666,0.4,0.7538461538461538,0.6436507936507936
3,rf,0.7058823529411765,0.0,0.0,0.0,0.5576923076923077,0.38382352941176473
4,gbrt,0.6470588235294118,0.25,0.25,0.25,0.7307692307692308,0.5381944444444444
5,gbrt,0.7647058823529411,0.5,0.5,0.5,0.5576923076923077,0.5369047619047619
