outcome,predictor,post_mean,hdi_low,hdi_high,PD,P(|beta|<ROPE)
Stroop interference,dep,-0.12523837047461742,-0.3181257076107948,0.07112960634467687,0.901375,0.377375
Stroop interference,anx,0.08927562762189281,-0.1334589334474471,0.31423217962628214,0.773375,0.50275
Stroop interference,str,-0.0002870791166158479,-0.2380877712384206,0.20263118314302545,0.529125,0.6435
PRP bottleneck,dep,-0.09078761992092456,-0.28381563005238863,0.12049709252830178,0.822375,0.472
PRP bottleneck,anx,0.034988674662254464,-0.19133232222037663,0.2547851890088876,0.61325,0.601625
PRP bottleneck,str,0.10796148212926036,-0.1233298032566008,0.34980503522844403,0.812125,0.475
WCST total errors,dep,-0.14004272528266326,-0.33622352942234934,0.05850979453232822,0.923125,0.33225
WCST total errors,anx,-0.01829142717080891,-0.25364850922062127,0.24595109645357907,0.54575,0.587125
WCST total errors,str,0.010185004524908392,-0.21379213287404536,0.23796442346190766,0.553625,0.6255
Meta-control,dep,-0.1506695787954094,-0.355686581149007,0.04259649324038096,0.939125,0.2985
Meta-control,anx,0.051532891378483256,-0.1483535380816109,0.3054519864087862,0.668375,0.596875
Meta-control,str,0.018137906350093394,-0.19904944411476058,0.24717298800512347,0.574,0.62325
