model,Accuracy,F1,Precision,Recall,ROC_AUC,PR_AUC,n
logreg,0.7731958762886598,0.5769230769230769,0.5,0.6818181818181818,0.8333333333333334,0.715733652861393,97
rf,0.8247422680412371,0.5405405405405406,0.6666666666666666,0.45454545454545453,0.8406060606060605,0.6960861091998047,97
gbrt,0.8041237113402062,0.5581395348837209,0.5714285714285714,0.5454545454545454,0.7472727272727272,0.6349709917395989,97
