term,post_mean,hdi_3%,hdi_97%,PD
group_high,-57.86921597496733,-172.07416451423316,61.61862824297049,0.82425
z_dass_dep,25.517167706225724,-29.016646604085103,79.04632553293723,0.8135
z_dass_anx,29.428711506991746,-29.642653611902578,88.75559888235958,0.82925
z_dass_stress,3.5337622178866694,-62.8293561024298,70.31724731572471,0.537875
age,22.630010967356736,11.271388698631764,34.167806163431024,0.9995
male,-95.49132305123135,-183.06081305279756,-3.6510991300662083,0.9735
