imp,outcome,nobs,estimate,p_value
1,stroop_effect,98,13.559332546097773,0.3696871452084477
1,prp_bottleneck,98,-13.129268526347694,0.6180931528920401
1,wcst_total_errors,98,1.6622044818156458,0.4853761518027676
2,stroop_effect,98,13.011418948919372,0.3611168790657706
2,prp_bottleneck,98,-4.647867281107494,0.8580659263600066
2,wcst_total_errors,98,2.5811182984477608,0.24890040373067002
3,stroop_effect,98,6.429786725858319,0.6330260636044941
3,prp_bottleneck,98,-46.65977369688389,0.04829970778572581
3,wcst_total_errors,98,1.7402085663308133,0.4057242058831637
4,stroop_effect,98,16.530635463066947,0.27434410421154887
4,prp_bottleneck,98,-16.147906953094758,0.49053094945911324
4,wcst_total_errors,98,1.8421816841748764,0.4257732433106599
5,stroop_effect,98,17.638468829912632,0.26773779002488085
5,prp_bottleneck,98,-26.311895906346265,0.3008909094968978
5,wcst_total_errors,98,1.9156227339059553,0.4013148304399837
