fold,model,Accuracy,F1,Precision,Recall,ROC_AUC,PR_AUC
1,gbrt,0.7777777777777778,0.5,0.6666666666666666,0.4,0.7846153846153846,0.6922222222222223
2,gbrt,0.8888888888888888,0.75,1.0,0.6,0.8461538461538461,0.8102564102564103
3,logreg,0.7647058823529411,0.6,0.5,0.75,0.8653846153846154,0.6041666666666666
4,gbrt,0.8235294117647058,0.5714285714285714,0.6666666666666666,0.5,0.75,0.638095238095238
5,gbrt,0.7647058823529411,0.5,0.5,0.5,0.6346153846153845,0.3958333333333333
