k,BIC,AIC
2,695.4744456175349,629.4511281660693
3,703.0123953006068,602.8390860639004
4,694.8489102225069,560.5256092005598
5,720.4499806907149,551.9766878835269
6,733.2208042864206,530.5975196939917
