outcome,estimator,k_selected,r2_mean,r2_std,mae_mean,mae_std
Stroop interference (ms),Ridge,1,-0.09674807865308192,0.25820668638170197,72.57142912122814,13.57132571451119
Stroop interference (ms),LinearSVR,1,-1.221308095980157,0.5957422596655152,107.3788588510633,21.84057983806042
PRP bottleneck (ms),Ridge,2,0.04516864562743527,0.18686170516647652,116.99062274463668,21.61810676066878
PRP bottleneck (ms),LinearSVR,1,-17.01762644067072,7.617885051978604,599.5178272246408,26.384930130633578
WCST total errors,Ridge,1,-0.2925999864353924,0.7751270042793917,8.802337072843217,2.0096576539210824
WCST total errors,LinearSVR,1,-0.20696084616446028,0.22430897799990587,8.350660716610047,2.6504207166891733
