model,task,feature,importance_mean,importance_std
rf,classification,age,0.003339393939393942,0.002550852861573107
rf,classification,dass_dep,0.1572909090909091,0.03585791827519138
rf,classification,dass_anx,0.059654545454545446,0.01683005423152819
rf,classification,dass_stress,0.053133333333333324,0.020234766288704555
rf,classification,gender=남성,0.0120969696969697,0.005142537632006434
