outcome,nobs,r_squared,adj_r_squared,AIC,BIC,p_value
Stroop interference (ms),81,0.1319148153599624,0.061529530118878184,972.5443207430662,989.3054648257734,0.27892183024969464
PRP bottleneck (short-long RT),77,0.22037017567483497,0.15354476216124946,992.2379639703945,1008.6446019233703,0.020536180845773622
WCST total errors,74,0.05740850951348786,-0.027002668739035673,605.7425558707764,621.8710115232057,0.2018468109610089
Latent meta-control factor,73,0.14805502100235945,0.07060547745711943,220.19077624019178,236.2239923282305,0.24727266185107158
