testName,gender_clean,count,mean,median,std
prp,female,53,357.2830188679245,349.0,50.24301610805479
prp,male,32,322.28125,318.5,26.073388206764484
stroop,female,53,168.71698113207546,170.0,18.021757532419795
stroop,male,33,158.6969696969697,153.0,22.041842097027715
wcst,female,49,246.59183673469389,233.0,54.77336577789844
wcst,male,31,235.29032258064515,210.0,87.55500882241104
