component,r_squared,percent
Unique UCLA,0.0021382979625639287,4.882019191939488
Unique DASS,0.02240712441831816,51.15845095565567
Common UCLA-DASS,0.01925403596812214,43.95952985240485
Covariates,0.012708257668133105,29.014645722033283
