parameter,coefficient,p_value
Intercept,10.586333496525725,8.41665014334853e-43
C(gender_male)[T.1],-0.8641308904292904,0.3261202297620728
z_ucla,-0.15362013499152088,0.7895914966856206
z_anx,-0.3255265967482788,0.6747882519608783
z_ucla:z_anx,0.3303176637473009,0.6054338964787138
z_str,0.017407704642046398,0.9800667332478492
z_ucla:z_str,-0.17740158706663695,0.769297515604731
z_dep,-0.7023766541197877,0.2936553734884505
z_age,-0.1679013990077842,0.7023037516836961
