method,n,r,r_sb,n_perm,r_ci_low,r_ci_high
odd_even,212,0.4608951884203559,0.6309763932054769,,,
perm_mean,212,0.3976104112061842,0.5689860464949359,500.0,0.3135624866365904,0.4861767850008862
