segment,cond,count,total_segment,proportion
1,congruent,1802,5319,0.3387854859936078
1,incongruent,1761,5319,0.3310772701635646
1,neutral,1756,5319,0.3301372438428276
2,congruent,1713,5319,0.32205301748448956
2,incongruent,1777,5319,0.33408535438992293
2,neutral,1829,5319,0.3438616281255875
3,congruent,1783,5319,0.3352133859748073
3,incongruent,1771,5319,0.33295732280503854
3,neutral,1765,5319,0.33182929122015414
4,congruent,1794,5319,0.33728144388042863
4,incongruent,1783,5319,0.3352133859748073
4,neutral,1742,5319,0.32750517014476405
