phase,n,r,spearman_brown
exploration,172,0.1846874401081213,0.31179099879925404
confirmation,196,0.5344019611924541,0.6965605815273409
exploitation,195,0.7351292707504352,0.8473481292059528
pre_exploitation,196,0.5394898248907675,0.7008683216585031
