segments,n,ucla_beta,ucla_se,ucla_p,delta_r2
2,212,37.05520372728674,12.956731319891302,0.004675897807808933,0.03793922948692563
3,212,30.740060035335212,8.223924772420913,0.00024067315773169148,0.06280750186124029
4,212,22.533464428959967,5.781050339177162,0.00013145303261064735,0.06672147411748586
6,212,17.26177432915462,3.986101466985055,2.3270342387650335e-05,0.08196627322499639
