segment,congruent,incongruent,neutral
1,0.3387854859936078,0.3310772701635646,0.3301372438428276
2,0.32205301748448956,0.33408535438992293,0.3438616281255875
3,0.3352133859748073,0.33295732280503854,0.33182929122015414
4,0.33728144388042863,0.3352133859748073,0.32750517014476405
