phase,n,r,spearman_brown
exploration,173,0.1825803027403789,0.308782925467789
confirmation,193,0.5701494451366037,0.7262358967200099
exploitation,193,0.6963531136707877,0.8210001892399973
pre_exploitation,193,0.6251468058868104,0.7693419494439829
