phase,n,r,spearman_brown
exploration,172,0.1846874401081213,0.31179099879925404
confirmation,196,0.5898579652690557,0.7420259899370728
exploitation,195,0.7786574315310245,0.8755563805906968
pre_exploitation,196,0.6313865041719828,0.7740489486180293
