phase,loneliness_group,mean_rt,ci95_rt,n
exploration,Low loneliness (bottom 25%),1966.8440424959285,242.83033541316382,49
exploration,High loneliness (top 25%),2162.2582126872303,307.9472322664477,52
confirmation,Low loneliness (bottom 25%),1916.1126747491587,117.97144174793229,50
confirmation,High loneliness (top 25%),2080.0108648207984,172.97982042364234,52
exploitation,Low loneliness (bottom 25%),1382.0617717302935,87.84165324846614,50
exploitation,High loneliness (top 25%),1437.8065680147338,112.71435425098578,52
