phase,n,r,spearman_brown
exploration,172,0.1846874401081213,0.31179099879925404
confirmation,196,0.5976009368824825,0.7481229174146901
exploitation,195,0.6897048963364804,0.8163613632556291
pre_exploitation,196,0.6259446567336113,0.7699458332008452
