outcome,outcome_column,ucla_p,fdr_q
Stroop Interference RT,stroop_interference,0.6413754671132188,0.9296081616218427
WCST Perseverative Error Rate (%),wcst_perseverative_error_rate,0.9296081616218427,0.9296081616218427
Stroop Interference RT Slope,stroop_interference_slope,0.0017927367700058623,0.005378210310017587
