task,n,mean_pes,std_pes,ucla_coef,ucla_se,ucla_p,model_r2
stroop,32,231.27091008533029,223.44658372911184,-41.81605217023787,60.0224619786245,0.49243475506268297,0.07581478307931933
wcst,156,1049.7632611973233,740.2368129685797,106.76546586203952,83.6913680527379,0.2040451681435566,0.025269216280685347
prp,75,247.06039434735737,272.82104396012653,-47.0239575602251,43.62527977399588,0.28488463162313915,0.057623616532103905
