participant_id,task,pes,pes_robust,rt_after_error,rt_after_correct,n_post_error,n_post_correct
GE4hogtdLdTFbNasENgtm6SO3hC3,stroop,196.55966667383905,48.79999999701977,1382.366666674614,1185.807000000775,3,100
ORvIk1xRWIQmKuLVe6GXNouvAXx2,stroop,727.6012626672634,717.0500000715256,1665.1750000417233,937.5737373744598,4,99
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,stroop,400.7386363642196,510.3999999985099,1075.2750000003725,674.5363636361529,4,99
dGL2zPQyEvdibcvxeTencpgoWbg2,stroop,72.45999999999185,279.0,881.0,808.5400000000081,3,100
wdppvL4tIkVlGjou6aYzzjlaZXB2,stroop,42.9722222216202,123.99999999813735,835.4499999992549,792.4777777776347,4,99
DPvStUYSmohmXwFwaKRqHv89R3k1,stroop,159.6488448790592,291.2999999523165,1141.6666666666667,982.0178217876075,3,101
kR2rCtaPyPaj7YMizKUDn5xL2qx1,stroop,192.58943894391246,210.49999999976706,1061.1666666666667,868.5772277227543,3,101
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,stroop,157.16186868684952,98.40000000008149,834.9749999999767,677.8131313131272,4,99
fEq0OghbLpfD1jigl1Mbz96aMbg2,stroop,123.29846939003585,127.80000000447035,774.3250000029802,651.0265306129444,4,98
AsXBOflrszVNKoFqbN61bMJqS0k2,stroop,499.49633332967755,478.9999999403956,1243.633333325386,744.1369999957085,3,100
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,stroop,307.7272727272564,372.9999999999418,1183.9999999999854,876.2727272727291,4,99
uhq0lYdK12b2vJDJLS0EPTVe9nP2,stroop,318.88778877887637,35.0,1206.3333333333333,887.4455445544569,3,101
QreA2rLiUhV3YHeMfuHMPdGbpJ53,stroop,349.6686468958462,202.40000009536743,1424.3666667143505,1074.6980198185042,3,101
AyAnuCaltBbpEYbudoyNzTvXlcC2,stroop,577.407000015378,453.4000000357628,1563.7000000178814,986.2930000025034,4,100
PLreonkqaMeFc0UqxKUelH44UQu1,stroop,338.95148515081644,512.9000000059605,975.7000000029802,636.7485148521638,3,101
0d841i8KPjdjwCYfDuUUXj0SEjH2,stroop,33.07590743023968,7.199999809265137,949.5333331425985,916.4574257123588,3,101
0oa5NYVnIBS9NmrmRAZrahXDctP2,stroop,147.1909090925874,177.25000000745058,685.8000000007451,538.6090909081577,4,99
Ru3Qf6pXZua1DfNkQdhbor6iJ403,stroop,432.18585858587403,588.4000000000234,1429.8000000000077,997.6141414141337,3,99
ASGvwW80q7VY7xFaLGZhVuErUQu2,stroop,380.55676600641925,286.39999961853005,1236.5666669209797,856.0099009145605,3,101
xHctBv4C2EU8rHYRouw0btT3GT02,stroop,164.08333333326823,-38.950000000186265,899.7333333332402,735.649999999972,3,100
SOhR7IO689NQCPQu56SjATO8FR92,stroop,320.33104166671194,452.3000000002796,1274.1800000000744,953.8489583333625,5,96
9Xz1RIwnPXgyRqmucudW9VeuDnq1,stroop,855.3535353535372,1083.0,1994.3333333333333,1138.979797979796,3,99
9l7DjYLs0XdgwykPZR5E01KTZfu2,stroop,111.69471940152323,-96.20000004768372,896.733333269755,785.0386138682318,3,101
