participant_id,n_rule_changes,post_switch_error_rate,avg_trials_to_criterion,ucla_total,gender_male
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,5,0.27999999999999997,1.4,32.0,0
2h5FgHUEvBS1twD5DqbTIRrMm1f2,5,0.5199999999999999,4.2,65.0,1
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,5,0.27999999999999997,2.2,50.0,0
5zxa5CMLGQSSonWOXqXf0QNS3PH3,5,0.31999999999999995,4.6,54.0,1
62fAfeQc27bZelkPX7G54T3gvci2,5,0.23999999999999994,1.4,49.0,0
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,5,0.27999999999999997,2.0,57.0,0
80UJMJbCOMgs6YVpsMgXfYTzw6o2,5,0.27999999999999997,1.6,56.0,0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,5,0.27999999999999997,2.0,42.0,0
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,5,0.36,2.0,38.0,1
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,5,0.5199999999999999,3.4,25.0,0
AsXBOflrszVNKoFqbN61bMJqS0k2,5,0.5199999999999999,6.4,42.0,0
AyAnuCaltBbpEYbudoyNzTvXlcC2,5,0.44000000000000006,4.0,62.0,0
CDEoAyvS8feXLKMKsaZah9agEhF3,5,0.23999999999999994,1.6,33.0,0
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,5,0.44000000000000006,5.0,30.0,1
CtJe4bZZnYUBNrcPk00d3YQFSGp2,5,0.52,3.4,45.0,0
DPvStUYSmohmXwFwaKRqHv89R3k1,5,0.11999999999999997,0.6,52.0,1
DzB19GqCB7fyrlEPexogWkjFzEx2,5,0.32,2.8,25.0,0
EUhcW9kURScie1DwGPHqmNqotJB2,3,0.6666666666666666,17.0,36.0,0
Fz7EUjZCLuUBxLDUVtN6djaBTy42,5,0.36,2.0,49.0,1
GDZGRW51kbWtAdUIHCtEd8sAtqY2,5,0.44000000000000006,2.6,26.0,0
GE4hogtdLdTFbNasENgtm6SO3hC3,5,0.19999999999999998,1.0,56.0,0
HSggdq91WiQp16bOj7V3dABkcgk2,5,0.27999999999999997,2.6,44.0,1
HyQM2xKwwuVfqidmRYF6TiRk90C2,5,0.27999999999999997,2.0,21.0,1
K26uNuY0VNPjJNF26wEx3bFg0kr2,5,0.27999999999999997,2.0,43.0,0
