outcome,linear_interaction_beta,linear_interaction_p,quad_linear_interaction_beta,quad_sq_interaction_beta,quad_sq_interaction_p,aic_linear,aic_quadratic,delta_aic,quadratic_preferred
pe_rate,2.1628492261378622,0.058517933810440535,2.174689077443717,0.2748138086135632,0.8107490164781362,426.7348673892443,429.70610883341806,-2.9712414441737565,False
wcst_accuracy,-3.3596444114863235,0.11269932589481355,-3.45574775385178,-0.13799419203545327,0.9484681184122858,516.0971283759059,519.1327366127142,-3.0356082368083435,False
wcst_npe_rate,1.196795185348453,0.43913908706898763,1.2810586764080563,-0.136819616578153,0.9308588928706352,471.874249226521,475.4909730441076,-3.616723817586603,False
