participant_id,acc_after_error,acc_after_correct,acc_after_pe,post_error_improvement
06qcrpGKL6Vc3LVplFQC90VAcRm1,0.5384615384615384,0.8970588235294118,0.5555555555555556,-0.35859728506787336
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,0.7272727272727273,0.8769230769230769,0.625,-0.14965034965034962
0d841i8KPjdjwCYfDuUUXj0SEjH2,0.625,0.9322033898305084,0.6666666666666666,-0.30720338983050843
0oa5NYVnIBS9NmrmRAZrahXDctP2,0.8,0.8870967741935484,0.6666666666666666,-0.08709677419354833
146QT9LupyU2BAiTsB3PMIpVXM22,0.8888888888888888,0.8805970149253731,1.0,0.008291873963515717
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,0.6666666666666666,0.9152542372881356,0.5,-0.24858757062146897
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.7,0.8852459016393442,0.6666666666666666,-0.1852459016393443
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,0.9,0.8961038961038961,0.8571428571428571,0.003896103896103953
23AEyocWhqY955WHbxhHRSgQ1ms2,0.5,0.8787878787878788,0.5,-0.3787878787878788
2h5FgHUEvBS1twD5DqbTIRrMm1f2,0.5454545454545454,0.8421052631578947,0.5384615384615384,-0.2966507177033493
2zDXvJKvjeejeOSNbtDbtSI5cdz1,0.6666666666666666,0.9016393442622951,0.4,-0.23497267759562845
3WijiOiVCoMbn80F05SPYsxl0TC2,0.5,0.8888888888888888,0.5555555555555556,-0.38888888888888884
3xCaqfcHxRQxuOlEzXz3PNcHODH2,0.8,0.9365079365079365,0.6666666666666666,-0.13650793650793647
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,1.0,0.8888888888888888,1.0,0.11111111111111116
5OOi73igsahMZ5IVKQwwyhnj4Cn2,0.8571428571428571,0.9193548387096774,0.6666666666666666,-0.062211981566820285
5rXSa3anB5ejmFrnwUsTB82byup1,0.8181818181818182,0.8767123287671232,0.7142857142857143,-0.05853051058530501
5zxa5CMLGQSSonWOXqXf0QNS3PH3,0.8461538461538461,0.863013698630137,0.7142857142857143,-0.01685985247629085
62fAfeQc27bZelkPX7G54T3gvci2,1.0,0.8852459016393442,1.0,0.11475409836065575
6ABZuv4jbjgE0B8TeyUk6nwVb122,0.8,0.8961038961038961,0.8571428571428571,-0.09610389610389602
6WFCyGwk71XLPBmbe4Vav3eotVm1,0.5714285714285714,0.9344262295081968,0.5,-0.36299765807962536
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,0.5833333333333334,0.8888888888888888,0.8333333333333334,-0.30555555555555547
80UJMJbCOMgs6YVpsMgXfYTzw6o2,0.6,0.9166666666666666,0.6,-0.31666666666666665
87w5Le0CgZhSfYAaOH3Xd2fc98l1,0.4090909090909091,0.7951807228915663,0.5714285714285714,-0.38608981380065716
8bwaafIhKVMNBoHaXFcY8HirS9u2,0.7777777777777778,0.9166666666666666,0.7142857142857143,-0.13888888888888884
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,0.35714285714285715,0.8695652173913043,0.6666666666666666,-0.5124223602484472
8mscvscxtXf7EbbLqCyy4a4pl2q2,0.8181818181818182,0.8709677419354839,0.8333333333333334,-0.05278592375366564
9Xz1RIwnPXgyRqmucudW9VeuDnq1,0.6666666666666666,0.9016393442622951,0.625,-0.23497267759562845
9l7DjYLs0XdgwykPZR5E01KTZfu2,0.75,0.9090909090909091,0.8571428571428571,-0.15909090909090906
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,0.5625,0.8615384615384616,0.6666666666666666,-0.2990384615384616
ASGvwW80q7VY7xFaLGZhVuErUQu2,0.7777777777777778,0.9,0.7142857142857143,-0.12222222222222223
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,0.55,0.8493150684931506,0.5,-0.2993150684931506
AsXBOflrszVNKoFqbN61bMJqS0k2,0.6,0.8571428571428571,0.5789473684210527,-0.2571428571428571
AyAnuCaltBbpEYbudoyNzTvXlcC2,0.6538461538461539,0.8117647058823529,0.6923076923076923,-0.1579185520361991
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,0.358974358974359,0.42857142857142855,,-0.06959706959706957
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,0.9,0.8787878787878788,1.0,0.021212121212121238
CDEoAyvS8feXLKMKsaZah9agEhF3,1.0,0.9016393442622951,1.0,0.09836065573770492
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,0.5,0.8714285714285714,0.5454545454545454,-0.37142857142857144
CUNlBEszJVRGK1jWlTaOaCqpDg53,0.5,0.9047619047619048,0.45454545454545453,-0.40476190476190477
Cbkx2NHyF3NrebzXGqNgSfiWent1,0.875,0.8870967741935484,0.8,-0.012096774193548376
