participant_id,ucla_total,gender,age,incong_sd_rt,incong_cv_rt,cong_sd_rt,cong_cv_rt,gender_coded,z_ucla,z_age,ucla_x_gender
uhq0lYdK12b2vJDJLS0EPTVe9nP2,51.0,female,22,354.1546160414842,0.3601979369842194,310.1193766564372,0.3696420077353815,-1,0.7945912983074329,0.8141117849604178,-0.7945912983074329
wJPD2B4ZTJhCyUqGTwc8yJSKPPH2,29.0,female,20,223.02608237823836,0.2575648076225116,361.8917695342597,0.4685390711016492,-1,-1.0287211984606013,-0.18787195037548104,1.0287211984606013
iWsc4pghIEWOQUZKuQJMfe516UI3,27.0,male,23,264.46549395659764,0.3751135803341032,124.87331901390431,0.2155352126882285,1,-1.1944768799849679,1.3151036526283673,-1.1944768799849679
lHDkoPQu5reNCO45npeYSS9eLQl1,36.0,female,20,267.69525782070605,0.31506842040355904,206.93919023706488,0.278623633453126,-1,-0.4485763131253176,-0.18787195037548104,0.4485763131253176
WcTsIpSoEhYeIBSNjAbbdaNSBya2,30.0,female,19,323.7347578317667,0.30909892378973425,206.41542824156608,0.19820743800313964,-1,-0.9458433576984179,-0.6888638180434304,0.9458433576984179
mg2WZiRBn4NQDKiMK43Y8dBqyG53,54.0,female,21,279.5961756329455,0.31841644752731885,177.15811922220965,0.24136896991255744,-1,1.0432248205939831,0.3131199172924684,-1.0432248205939831
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,25.0,female,21,341.37067448345954,0.33538223828475794,260.01879532031006,0.2786040040854641,-1,-1.3602325615093347,0.3131199172924684,1.3602325615093347
CtJe4bZZnYUBNrcPk00d3YQFSGp2,45.0,female,22,216.42126269023973,0.25471397045395905,177.1302869067797,0.23879873305985266,-1,0.29732425373433274,0.8141117849604178,-0.29732425373433274
CDEoAyvS8feXLKMKsaZah9agEhF3,33.0,female,22,316.78833345668886,0.3371134661890007,118.77800378244109,0.1593011081825294,-1,-0.6972098354118678,0.8141117849604178,0.6972098354118678
GDZGRW51kbWtAdUIHCtEd8sAtqY2,26.0,female,21,213.25112773380638,0.22659238374657242,263.68485932256,0.2772654763922615,-1,-1.2773547207471514,0.3131199172924684,1.2773547207471514
QreA2rLiUhV3YHeMfuHMPdGbpJ53,44.0,female,21,332.18605869481405,0.2734917008846658,218.15193182516995,0.24436176776397944,-1,0.21444641297214936,0.3131199172924684,-0.21444641297214936
AyAnuCaltBbpEYbudoyNzTvXlcC2,62.0,female,22,474.34989182313143,0.41369727471311774,316.60637334498557,0.3316378593150352,-1,1.70624754669145,0.8141117849604178,-1.70624754669145
azdL1gX79EVd9iepyCAVQrqIaQF3,32.0,female,19,158.38946962256745,0.1979779005257595,217.44396430143755,0.2984328320625967,-1,-0.7800876761740511,-0.6888638180434304,0.7800876761740511
jzdk8E3tVXTXIozlfK5oeEb7wWp2,37.0,male,24,241.61068265682616,0.27339428742884975,353.3002701977144,0.41728104563446317,1,-0.36569847236313424,1.8160955202963167,-0.36569847236313424
