task,metric,interaction_beta,male_r,male_p,female_r,female_p
wcst,pe_sd,49.57085279846425,0.4097380821562332,0.23962215357919409,0.10338356424854733,0.7031936971744255
wcst,pe_cv,0.017451099972564103,,,,
wcst,sd_diff_pe_correct,57.50000423240179,0.41817151836881944,0.22912549830423667,-0.05061295142562991,0.8523291232949082
wcst,npe_sd,,,,,
stroop,incong_sd,6.372404485365624,,,,
