,UCLA,DASS-Dep,DASS-Anx,DASS-Str,WCST PE,WCST Acc,Stroop Int,PRP Delay
UCLA,"[1.00, 1.00]","[0.570, 0.730]","[0.371, 0.586]","[0.412, 0.617]","[-0.235, 0.042]","[-0.077, 0.202]","[-0.148, 0.131]","[-0.020, 0.260]"
DASS-Dep,"[0.570, 0.730]","[1.00, 1.00]","[0.531, 0.703]","[0.545, 0.713]","[-0.267, 0.009]","[-0.106, 0.174]","[-0.211, 0.068]","[-0.109, 0.175]"
DASS-Anx,"[0.371, 0.586]","[0.531, 0.703]","[1.00, 1.00]","[0.667, 0.796]","[-0.235, 0.042]","[-0.080, 0.200]","[-0.155, 0.125]","[-0.081, 0.202]"
DASS-Str,"[0.412, 0.617]","[0.545, 0.713]","[0.667, 0.796]","[1.00, 1.00]","[-0.252, 0.025]","[-0.047, 0.231]","[-0.162, 0.118]","[-0.107, 0.177]"
WCST PE,"[-0.235, 0.042]","[-0.267, 0.009]","[-0.235, 0.042]","[-0.252, 0.025]","[1.00, 1.00]","[-0.697, -0.522]","[-0.060, 0.218]","[-0.112, 0.172]"
WCST Acc,"[-0.077, 0.202]","[-0.106, 0.174]","[-0.080, 0.200]","[-0.047, 0.231]","[-0.697, -0.522]","[1.00, 1.00]","[-0.206, 0.072]","[-0.184, 0.099]"
Stroop Int,"[-0.148, 0.131]","[-0.211, 0.068]","[-0.155, 0.125]","[-0.162, 0.118]","[-0.060, 0.218]","[-0.206, 0.072]","[1.00, 1.00]","[0.020, 0.297]"
PRP Delay,"[-0.020, 0.260]","[-0.109, 0.175]","[-0.081, 0.202]","[-0.107, 0.177]","[-0.112, 0.172]","[-0.184, 0.099]","[0.020, 0.297]","[1.00, 1.00]"
